Order,AoA,Mach,Reynolds,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9,PC10,PC11,PC12,PC13,PC14,PC15,PC16,PC17,PC18,PC19,PC20,PC21,PC22,PC23,PC24,PC25,PC26,PC27,PC28,PC29,PC30,PC31,PC32,PC33,PC34,PC35,PC36,PC37,PC38,PC39,PC40
2,-7,1,8000,-12.205231981069876,-1.8959103643342687,0.5780392459098249,0.3358133595386409,0.4560635383729554,-0.5413518823912717,0.5913452014617263,-0.3527989989453223,-0.0211358775045307,0.0330791741887749,0.0034876150613361,-0.0397753918488441,0.0372448140506321,0.1717057227361975,0.0080440038238407,0.0015542148380446,0.064573798306111,0.0137353452229513,0.0424642582915777,-0.0012673132971574,0.0210843150454639,-0.0597990423575291,0.0011953778176211,0.0770057032471024,-0.0146927367872969,0.0044165218423533,-0.0121954961859068,-0.0147772092715334,0.0552107889517126,-0.0165931147722929,-0.0304114801976778,-0.0169398695996989,-0.0035282896869676,0.0165535879236394,-0.0049603564342181,0.0061149679597423,-0.0242619844938076,0.0065831515835435,0.0143383354634304,-0.0037854207579557
4,-7,1,8000,-12.260560761877636,-2.058135506178434,0.7309048809044727,0.1432564151887498,0.3374837254735558,-0.6568157727241226,0.8379263632092704,-0.0512670845494378,-0.0699370364990427,-0.0157462979685595,0.1505453185944768,-0.1477615872338664,-0.0465358325918336,0.168972087952407,0.0217871367903136,0.0833930409789008,0.0775787289168905,0.0358927371362776,0.0372911310741601,0.0083523401862113,-0.1220674923064509,-0.0178046648784325,0.0016341343007865,0.0502211860325305,0.0297540406202605,-0.001134610064584,-0.0306802275618164,-0.0207209522591643,-0.0028793615301414,-0.003559725615273,-0.0061668175092741,0.0144650629199399,-0.0083933137302017,-0.00125563050399,0.0169009311928398,-0.0137240238028662,0.0073049216545689,-0.01623637944751,0.0331026811649691,0.014773475306905
2,-7,1,9000,-12.182963672351608,-1.929176968481364,0.55713241958752,0.2977699127307697,0.4805850552037048,-0.5584528567773488,0.6072074629040842,-0.3398310511354472,-0.036641993473603,0.0457527972715241,0.0028243378332877,-0.041410414491915,0.0490503388887623,0.1729061139553593,0.0153464531282107,0.0116439621976031,0.0712567156801047,0.0232138749727814,0.0392512037914262,-0.001420003255551,0.0137265995611968,-0.0570890035450719,0.0017371002111435,0.0881341102972756,-0.0153398831717792,0.0046553945089675,-0.0118989338798336,-0.0126636826587392,0.0610226146802451,-0.0221697763631995,-0.0304672429246564,-0.0182611449614513,-0.0047209912178032,0.0159893591439691,-0.0069722660704782,0.0071099107038811,-0.026523486480698,0.0079284085002503,0.0167281964188707,-0.0015867024338353
4,-7,1,9000,-12.24588161382628,-2.095459104803324,0.7246894517600051,0.0897729206499864,0.3480869031065676,-0.6828356300838436,0.868094490744115,-0.0233941396154458,-0.0782903897927532,0.0059153952505922,0.1530741433933456,-0.1635306270017216,-0.0332610725793005,0.1742368844652677,0.0319619175798515,0.1056197542081666,0.0853735090920022,0.0404161294141385,0.0381259958103001,0.0035806823351253,-0.1350113818172881,-0.0131780267838942,0.0008463872396729,0.0617795339237822,0.0372365137608917,-0.0032439491886001,-0.0369700473989038,-0.0244768466285742,0.0009894429119609,-0.0091620493053471,-0.0064684329006498,0.0151233433387979,-0.0055279810021856,-0.0047734069928999,0.0127501154249038,-0.0114580292239362,0.0059903380546444,-0.0154872980078083,0.0415943092590055,0.0152656243778971
2,-7,2,3000,-7.094886684776611,-3.5763422949455785,1.1423269050881086,0.2201940592649759,0.0463022565673271,0.5929523681881153,0.5616430832817391,-0.6599902434974109,0.2498286010917639,-0.0772051071443937,0.0040056223540991,-0.00696163091354,-0.1204322097009167,0.262737503551651,-0.0705425905413131,-0.0078020334989941,0.0724088913262218,-0.103324805378525,0.0543963360378288,-0.0361850387803128,0.0892057632261306,-0.090760452007039,0.0181201536377764,-0.0494959661990361,0.0242408938422915,0.0211520258499607,-0.0274560535054502,-0.0181247669847832,0.0075182643538861,0.0188828779037286,-0.0376424726670646,0.0231326191104037,0.0142095163035726,-9.020472620846488e-05,0.0071902907352888,0.0194812722544129,-0.0142055385456101,-0.0163313353722843,-0.013245346359392,-0.0342208360404165
4,-7,2,3000,-7.132098862048702,-3.600288363124237,1.2226095642973502,0.1346127298370177,-0.0736101768686474,0.5304668886165881,0.7744042758624838,-0.4514454467764747,0.222848460496943,-0.2158533018039562,0.1697910765326369,-0.0432299551811522,-0.2693787638738816,0.1887888473607893,-0.0944500771972681,-0.0034273111653739,0.0184538010951883,-0.0882697360173108,0.0105157064986454,0.0030244309968675,0.0101717212349795,-0.0914732247169946,0.0016496257721103,-0.038509137439941,0.0148415750870114,0.0299630564573182,-0.0021810500284812,0.0308722606409016,-0.0044460138222031,0.0244183780944234,-0.0178762699188288,0.0538525607492037,0.0144764901894901,-0.0179196244722134,0.0336954305601635,-0.0165339344889979,-0.0068240029335372,0.0019001148793652,-0.0391082883099339,-0.0064922083027715
2,-7,2,4000,-6.923075061306296,-3.785686698224868,0.990136910944974,-0.0097666940713452,0.1822174347739932,0.5000029557559997,0.6773152164071119,-0.5619346129062375,0.1529187542829077,-0.0436514625010948,0.0051101808639857,-0.0328081784075825,-0.0551410956802767,0.2544359221748027,-0.0263563298752383,-0.0099876741060184,0.0868283418609023,-0.0389034640497093,0.064806852870455,-0.01234252364797,0.0465243929622436,-0.0767825502117476,0.0203717257961774,-0.0163394148553935,0.0033838981185136,0.0210225946671039,-0.021368558421547,0.0055127223139973,0.024018170528411,0.0149619209754058,-0.0298996654111959,0.0099237413202409,0.0027975000439965,0.0128460322275587,0.0059954937428171,0.015352593400466,-0.0113471947851279,-0.0087448859303144,-0.0026227483831094,-0.0245798519240969
4,-7,2,4000,-6.9630450837643965,-3.8188418579055856,1.0905708016359916,-0.1441930926419999,0.0364281188575022,0.406273725290721,0.9285686336510316,-0.3096237628584148,0.135887300694276,-0.1856713324756997,0.1997187960116422,-0.0925051905160646,-0.2113203599189953,0.1644630155982849,-0.0600975017268714,0.0121745883715954,0.0163125809280456,-0.0239292867021059,0.0225600730021946,0.0309883340367355,-0.0473444997853052,-0.066549994975959,0.0057338062579987,-0.0267774152480473,0.0049888152772555,0.0372137355250487,-0.0057541682040933,0.0347047244949448,-0.0094646031005498,0.0279246808674046,-0.0018112845908944,0.0403477411983659,0.0033899583395006,0.004988844224553,0.0367275911394549,-0.0165039547447416,0.0023818304013398,0.0043150052214268,-0.0258482526380042,0.0014089048574454
2,-7,2,5000,-6.804598366647323,-3.938230594881122,0.8852444332625045,-0.1943650715921081,0.2885651662144832,0.4212034495033595,0.7649677184703814,-0.4827764390030268,0.079113848505702,-0.0062244525166281,0.0083775116826417,-0.052054310383261,-0.0042633808812748,0.2525798783134114,0.0075567206958498,0.002941364198176,0.1023199742529178,0.003359192212591,0.0656871117748225,-0.0038335242464005,0.0156494222467308,-0.0663366298532921,0.0242981409150731,0.011532710588587,-0.005289283529976,0.0194766010683909,-0.0195076666395373,0.0185837041080497,0.0389835714293066,0.005114866950885,-0.025521473996933,0.0038807243076341,-0.0038278960649389,0.0183045077767198,0.0032343024958612,0.0129622751786557,-0.0122812677594076,-0.0070283385344279,0.0053894346217066,-0.0173874100689015
4,-7,2,5000,-6.851214726062802,-3.977854216928373,1.0073395985751337,-0.3712806577106168,0.1161791339107772,0.3004843894254535,1.051980158079325,-0.192876928758323,0.0750107741025977,-0.1419575486854514,0.2264498898916396,-0.1372853136174018,-0.1661104392097581,0.1515172823401719,-0.0308726320556509,0.0477516177514002,0.0189274821068164,0.0128971410268532,0.0252655214168379,0.03720107247063,-0.0908554038892835,-0.0459053739368672,0.0076165210909039,-0.0176264287240092,0.0098157480790155,0.0408350878058845,-0.0145780918433241,0.0245070073990366,-0.0154667533572861,0.0248887898240801,0.0086404616873928,0.0361386002572439,-0.0018827441923316,0.0153897966279951,0.0323836414822515,-0.0143650034271232,0.0088588939747817,0.0003084853022761,-0.0119843109674923,0.005487803804793
